Country Name,Country Code,Indicator Name,Indicator Code,Year,electricityaccesspercent
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,48.1036086917626
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,46.2686205693929
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,44.3897728327672
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,43.0283322203821
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,54.2241873184273
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,51.7343879679826
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,51.1608170294888
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,51.2128627251931
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,90.8456612947772
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,90.6350500075048
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,90.3528022912948
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,89.1769388289388
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.9122503727586
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.6553033226795
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,98.0299509210501
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.5543062321296
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9864361944448
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9787398737644
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9451609693115
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.8772294193382
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,95.2736982586256
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,93.4898308886663
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,92.8257182556981
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,92.0376642642747
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.1558881610248
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,97.7957073157348
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.8721126174115
