Country Code,Country Name,Indicator Code,Indicator Name,Value,Year
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",720859132.0,2022
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",702977106.0,2021
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",685112979.0,2020
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",667242986.0,2019
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",649757148.0,2018
AFW,Africa Western and Central,SP.POP.TOTL,"Population, total",490330870.0,2022
AFW,Africa Western and Central,SP.POP.TOTL,"Population, total",478185907.0,2021
AFW,Africa Western and Central,SP.POP.TOTL,"Population, total",466189102.0,2020
AFW,Africa Western and Central,SP.POP.TOTL,"Population, total",454306063.0,2019
AFW,Africa Western and Central,SP.POP.TOTL,"Population, total",442646825.0,2018
ARB,Arab World,SP.POP.TOTL,"Population, total",464684914.0,2022
ARB,Arab World,SP.POP.TOTL,"Population, total",456520777.0,2021
ARB,Arab World,SP.POP.TOTL,"Population, total",449228296.0,2020
ARB,Arab World,SP.POP.TOTL,"Population, total",441467739.0,2019
ARB,Arab World,SP.POP.TOTL,"Population, total",432545676.0,2018
CSS,Caribbean small states,SP.POP.TOTL,"Population, total",7505478.0,2022
CSS,Caribbean small states,SP.POP.TOTL,"Population, total",7481877.0,2021
CSS,Caribbean small states,SP.POP.TOTL,"Population, total",7444768.0,2020
CSS,Caribbean small states,SP.POP.TOTL,"Population, total",7424102.0,2019
CSS,Caribbean small states,SP.POP.TOTL,"Population, total",7374650.0,2018
CEB,Central Europe and the Baltics,SP.POP.TOTL,"Population, total",100108221.0,2022
CEB,Central Europe and the Baltics,SP.POP.TOTL,"Population, total",101413176.0,2021
CEB,Central Europe and the Baltics,SP.POP.TOTL,"Population, total",102180124.0,2020
CEB,Central Europe and the Baltics,SP.POP.TOTL,"Population, total",102398537.0,2019
CEB,Central Europe and the Baltics,SP.POP.TOTL,"Population, total",102538451.0,2018
EAR,Early-demographic dividend,SP.POP.TOTL,"Population, total",3447398652.0,2022
EAR,Early-demographic dividend,SP.POP.TOTL,"Population, total",3411268373.0,2021
EAR,Early-demographic dividend,SP.POP.TOTL,"Population, total",3374383528.0,2020
EAR,Early-demographic dividend,SP.POP.TOTL,"Population, total",3334561751.0,2019
EAR,Early-demographic dividend,SP.POP.TOTL,"Population, total",3292896609.0,2018
EAS,East Asia & Pacific,SP.POP.TOTL,"Population, total",2375162207.0,2022
EAS,East Asia & Pacific,SP.POP.TOTL,"Population, total",2370189840.0,2021
EAS,East Asia & Pacific,SP.POP.TOTL,"Population, total",2363934334.0,2020
EAS,East Asia & Pacific,SP.POP.TOTL,"Population, total",2353856866.0,2019
EAS,East Asia & Pacific,SP.POP.TOTL,"Population, total",2341383691.0,2018
EAP,East Asia & Pacific (excluding high income),SP.POP.TOTL,"Population, total",2129112126.0,2022
EAP,East Asia & Pacific (excluding high income),SP.POP.TOTL,"Population, total",2123628421.0,2021
EAP,East Asia & Pacific (excluding high income),SP.POP.TOTL,"Population, total",2116378687.0,2020
EAP,East Asia & Pacific (excluding high income),SP.POP.TOTL,"Population, total",2106391925.0,2019
EAP,East Asia & Pacific (excluding high income),SP.POP.TOTL,"Population, total",2094524854.0,2018
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,"Population, total",2103055378.0,2022
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,"Population, total",2097669023.0,2021
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,"Population, total",2090523535.0,2020
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,"Population, total",2080648616.0,2019
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,"Population, total",2068898629.0,2018
EMU,Euro area,SP.POP.TOTL,"Population, total",348331511.0,2022
EMU,Euro area,SP.POP.TOTL,"Population, total",346942979.0,2021
EMU,Euro area,SP.POP.TOTL,"Population, total",346961127.0,2020
EMU,Euro area,SP.POP.TOTL,"Population, total",346517987.0,2019
EMU,Euro area,SP.POP.TOTL,"Population, total",346153001.0,2018
ECS,Europe & Central Asia,SP.POP.TOTL,"Population, total",920375568.0,2022
ECS,Europe & Central Asia,SP.POP.TOTL,"Population, total",923564027.0,2021
ECS,Europe & Central Asia,SP.POP.TOTL,"Population, total",922353365.0,2020
ECS,Europe & Central Asia,SP.POP.TOTL,"Population, total",920277481.0,2019
ECS,Europe & Central Asia,SP.POP.TOTL,"Population, total",917380453.0,2018
ECA,Europe & Central Asia (excluding high income),SP.POP.TOTL,"Population, total",397824705.0,2022
ECA,Europe & Central Asia (excluding high income),SP.POP.TOTL,"Population, total",401682855.0,2021
ECA,Europe & Central Asia (excluding high income),SP.POP.TOTL,"Population, total",400061023.0,2020
ECA,Europe & Central Asia (excluding high income),SP.POP.TOTL,"Population, total",398690076.0,2019
ECA,Europe & Central Asia (excluding high income),SP.POP.TOTL,"Population, total",396674671.0,2018
TEC,Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,"Population, total",457549063.0,2022
TEC,Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,"Population, total",462431038.0,2021
TEC,Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,"Population, total",461273023.0,2020
TEC,Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,"Population, total",460092452.0,2019
TEC,Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,"Population, total",458211234.0,2018
EUU,European Union,SP.POP.TOTL,"Population, total",447370510.0,2022
EUU,European Union,SP.POP.TOTL,"Population, total",447178112.0,2021
EUU,European Union,SP.POP.TOTL,"Population, total",447692315.0,2020
EUU,European Union,SP.POP.TOTL,"Population, total",447367191.0,2019
EUU,European Union,SP.POP.TOTL,"Population, total",447001100.0,2018
FCS,Fragile and conflict affected situations,SP.POP.TOTL,"Population, total",1019139254.0,2022
FCS,Fragile and conflict affected situations,SP.POP.TOTL,"Population, total",1001844479.0,2021
FCS,Fragile and conflict affected situations,SP.POP.TOTL,"Population, total",979763631.0,2020
FCS,Fragile and conflict affected situations,SP.POP.TOTL,"Population, total",957785553.0,2019
FCS,Fragile and conflict affected situations,SP.POP.TOTL,"Population, total",936721531.0,2018
HPC,Heavily indebted poor countries (HIPC),SP.POP.TOTL,"Population, total",884288332.0,2022
HPC,Heavily indebted poor countries (HIPC),SP.POP.TOTL,"Population, total",861156745.0,2021
HPC,Heavily indebted poor countries (HIPC),SP.POP.TOTL,"Population, total",838066650.0,2020
HPC,Heavily indebted poor countries (HIPC),SP.POP.TOTL,"Population, total",815100831.0,2019
HPC,Heavily indebted poor countries (HIPC),SP.POP.TOTL,"Population, total",792615894.0,2018
,High income,SP.POP.TOTL,"Population, total",1244364814.0,2022
,High income,SP.POP.TOTL,"Population, total",1241268556.0,2021
,High income,SP.POP.TOTL,"Population, total",1241718902.0,2020
,High income,SP.POP.TOTL,"Population, total",1236709936.0,2019
,High income,SP.POP.TOTL,"Population, total",1231508785.0,2018
IBD,IBRD only,SP.POP.TOTL,"Population, total",4913887020.0,2022
IBD,IBRD only,SP.POP.TOTL,"Population, total",4895372787.0,2021
IBD,IBRD only,SP.POP.TOTL,"Population, total",4867091692.0,2020
IBD,IBRD only,SP.POP.TOTL,"Population, total",4832928887.0,2019
IBD,IBRD only,SP.POP.TOTL,"Population, total",4794555928.0,2018
IBT,IDA & IBRD total,SP.POP.TOTL,"Population, total",6754029970.0,2022
IBT,IDA & IBRD total,SP.POP.TOTL,"Population, total",6695487825.0,2021
IBT,IDA & IBRD total,SP.POP.TOTL,"Population, total",6627317499.0,2020
IBT,IDA & IBRD total,SP.POP.TOTL,"Population, total",6553978299.0,2019
IBT,IDA & IBRD total,SP.POP.TOTL,"Population, total",6477695468.0,2018
IDB,IDA blend,SP.POP.TOTL,"Population, total",607735968.0,2022
IDB,IDA blend,SP.POP.TOTL,"Population, total",595016031.0,2021
IDB,IDA blend,SP.POP.TOTL,"Population, total",582637127.0,2020
IDB,IDA blend,SP.POP.TOTL,"Population, total",570633332.0,2019
IDB,IDA blend,SP.POP.TOTL,"Population, total",559155599.0,2018
IDX,IDA only,SP.POP.TOTL,"Population, total",1232406982.0,2022
IDX,IDA only,SP.POP.TOTL,"Population, total",1205099007.0,2021
IDX,IDA only,SP.POP.TOTL,"Population, total",1177588680.0,2020
IDX,IDA only,SP.POP.TOTL,"Population, total",1150416080.0,2019
IDX,IDA only,SP.POP.TOTL,"Population, total",1123983941.0,2018
IDA,IDA total,SP.POP.TOTL,"Population, total",1840142950.0,2022
IDA,IDA total,SP.POP.TOTL,"Population, total",1800115038.0,2021
IDA,IDA total,SP.POP.TOTL,"Population, total",1760225807.0,2020
IDA,IDA total,SP.POP.TOTL,"Population, total",1721049412.0,2019
IDA,IDA total,SP.POP.TOTL,"Population, total",1683139540.0,2018
LTE,Late-demographic dividend,SP.POP.TOTL,"Population, total",2325542891.0,2022
LTE,Late-demographic dividend,SP.POP.TOTL,"Population, total",2322606486.0,2021
LTE,Late-demographic dividend,SP.POP.TOTL,"Population, total",2317277554.0,2020
LTE,Late-demographic dividend,SP.POP.TOTL,"Population, total",2309491804.0,2019
LTE,Late-demographic dividend,SP.POP.TOTL,"Population, total",2298987594.0,2018
LCN,Latin America & Caribbean,SP.POP.TOTL,"Population, total",659310564.0,2022
