Country Name,Country Code,Indicator Name,Indicator Code,Year,ruralpopulationpercent
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,62.174841921506
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,62.6763011608247
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,63.17169763064
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,63.6637406332391
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,64.1524022210526
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,50.9526154513686
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,51.545193730082
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,52.142168975222
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,52.7445867836195
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,53.3505741713724
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,40.4425293479745
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,40.7051135330233
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,40.9123809889593
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,41.1161830250364
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,41.3704238436104
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,48.016083275842
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,48.2175891677984
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,48.3956270854915
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,48.5873528197754
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,48.7168892276922
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,37.1602500664856
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,37.3100044313473
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,37.438545756893
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,37.5618607868978
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,37.6663333964154
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,53.3002613813484
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,53.729045551125
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2020,54.133993973383
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2019,54.5335924201651
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,2018,54.9392869791552
East Asia & Pacific,EAS,Rural population (% of total population),SP.RUR.TOTL.ZS,2022,37.7645681219607
East Asia & Pacific,EAS,Rural population (% of total population),SP.RUR.TOTL.ZS,2021,38.5268754302162
